SampleIndex,CAN_H_V,CAN_L_V
89,2.592048,2.454270
90,2.587420,2.598470
91,2.575966,2.428567
92,2.493466,2.542062
93,3.461776,1.406717
94,2.534339,2.492089
95,2.499679,2.418492
96,2.562215,2.405704
97,2.480668,2.520349
98,2.530241,2.502670
99,3.441637,1.455822
100,2.497320,2.458794
101,2.491116,2.462599
102,2.443078,2.409178
103,2.594092,2.577255
104,2.571525,2.414491
105,3.459288,1.557151
106,2.404513,2.422247
107,2.528700,2.502213
108,2.573964,2.456932
109,2.433275,2.533965
110,2.521667,2.439518
111,3.545462,1.465102
112,2.577584,2.485683
113,2.488564,2.577210
114,2.470448,2.429448
115,3.502434,1.480535
116,3.456657,1.492647
117,2.470873,2.582255
118,3.409509,1.425199
119,2.588456,2.518961
120,3.557383,1.560065
121,3.442512,1.463711
122,3.556469,1.421280
123,3.409658,1.523681
124,2.422943,2.558276
125,3.420846,1.467976
126,2.578678,2.544421
127,3.501332,1.555937
128,2.477503,2.483001
129,2.406962,2.478429
130,2.577468,2.411656
131,3.454389,1.491533
132,2.589095,2.592401
133,2.483961,2.495717
134,2.589191,2.441621
135,2.581568,2.456265
136,2.451856,2.404318
137,3.459650,1.413102
138,2.416824,2.486811
139,2.470676,2.422423
140,2.553360,2.459539
141,2.502767,2.413299
142,2.562787,2.489561
143,3.435699,1.463946
144,2.576706,2.542782
145,3.440433,1.551273
146,2.501501,2.491734
147,2.509183,2.578890
148,3.479135,1.555628
149,3.520446,1.561997
150,3.515462,1.476956
151,2.585755,2.482232
152,2.426782,2.494390
153,2.460922,2.454555
154,2.410838,2.551878
155,2.508973,2.593360
156,3.538405,1.415025
157,2.561775,2.516198
158,2.477322,2.446984
159,2.448680,2.431470
160,3.594659,1.527937
161,2.557073,2.564133
162,2.508088,2.435885
163,3.575404,1.470863
164,3.591884,1.445480
165,2.590719,2.561232
166,3.581807,1.575460
167,2.472203,2.406785
168,2.572938,2.553344
169,2.409537,2.588878
170,3.585877,1.560989
171,3.416840,1.416929
172,3.558214,1.458158
173,3.458954,1.578284
174,2.409728,2.509004
175,3.469093,1.480137
176,3.491791,1.470292
177,3.578240,1.404569
178,2.520169,2.511645
179,3.479377,1.510401
180,2.497116,2.485045
181,3.552482,1.428967
182,3.477135,1.458043
183,3.588212,1.438266
184,2.416168,2.454205
185,2.505562,2.446775
186,2.526688,2.517865
187,2.405618,2.478778
188,2.597349,2.598899
189,3.495565,1.456580
190,2.447577,2.531264
191,2.476369,2.501104
192,2.496730,2.420430
193,2.487051,2.425916
194,2.531810,2.564106
195,3.536029,1.402957
196,2.502609,2.413842
197,2.541015,2.572847
198,2.503618,2.411731
199,2.523554,2.531635
200,2.402742,2.410286
201,3.507265,1.519333
202,2.437698,2.562666
203,2.544944,2.596382
204,2.534716,2.470713
205,2.477736,2.521991
206,2.495529,2.566404
207,3.491417,1.564885
208,2.598853,2.484877
209,2.544588,2.480546
210,2.485035,2.406806
211,2.443795,2.590606
212,2.574598,2.436024
213,3.439116,1.491134
214,2.501797,2.580736
215,2.443559,2.414194
216,2.548070,2.598899
217,2.464346,2.504378
218,2.577701,2.473149
219,3.542186,1.536055
220,2.408545,2.564747
221,2.475995,2.495937
222,2.526511,2.535095
223,2.564751,2.463345
224,2.419988,2.469716
225,3.593230,1.442294
226,2.556580,2.485481
227,2.507269,2.489064
228,2.421049,2.502103
229,2.454996,2.477795
230,2.574218,2.581096
231,3.546375,1.569943
232,2.473939,2.525014
233,2.513742,2.503881
234,2.520037,2.449792
235,2.403958,2.548597
236,2.580256,2.583965
237,3.428796,1.598270
238,2.568848,2.456196
239,2.571432,2.406872
240,2.582587,2.475597
241,2.403730,2.589466
242,2.533965,2.509089
243,3.552728,1.441965
244,2.526977,2.471936
245,2.497951,2.438074
246,2.488152,2.413419
247,2.541580,2.468001
248,2.463243,2.437949
249,3.488296,1.557773
250,2.563481,2.540011
251,2.405050,2.595310
252,2.512219,2.471928
253,2.579494,2.527063
254,2.554729,2.569128
255,3.555774,1.556034
256,2.412759,2.471358
257,2.592998,2.484450
258,2.473785,2.451149
259,2.407897,2.508258
260,3.428528,1.492652
261,2.534346,2.563856
262,2.551909,2.453983
263,2.471985,2.432575
264,3.437858,1.478754
265,2.489691,2.418956
266,3.539559,1.565508
267,3.522591,1.435813
268,2.443348,2.599083
269,3.485617,1.507429
270,3.430992,1.412689
271,3.432837,1.476191
272,3.423095,1.554842
273,2.534480,2.567534
274,3.481759,1.498445
275,2.405794,2.499690
276,3.449147,1.506999
277,2.405454,2.470665
278,2.509523,2.513110
279,2.572034,2.599620
280,2.410689,2.410077
281,2.553787,2.562330
282,3.435349,1.560744
283,2.464598,2.575085
284,2.556300,2.531290
285,2.480301,2.473208
286,2.574658,2.526265
287,2.593140,2.472834
288,3.535163,1.475238
289,2.556876,2.547703
290,3.483778,1.567490
291,3.459389,1.417908
292,2.597971,2.557032
293,3.509871,1.462967
294,3.596363,1.496087
295,3.519095,1.479909
296,2.413763,2.416839
297,2.524967,2.588719
298,2.437016,2.570327
299,2.409219,2.559339
300,2.566433,2.556540
301,3.422470,1.507170
302,2.525990,2.468837
303,2.418966,2.588399
304,2.423875,2.461257
305,3.543262,1.488519
306,2.531993,2.401857
307,2.581966,2.587873
308,3.402375,1.442724
309,2.431038,2.430007
310,3.569747,1.406142
311,2.404230,2.438534
312,3.401175,1.433825
313,3.577812,1.425263
314,3.469778,1.480919
315,3.445476,1.485626
316,3.422376,1.519364
317,2.410954,2.411100
318,3.491602,1.404984
319,3.436038,1.560074
320,2.427236,2.587082
321,3.513328,1.528805
322,3.456575,1.490750
323,3.528931,1.567702
324,2.574702,2.492649
325,3.524231,1.570116
326,2.425364,2.507977
327,3.485469,1.413203
328,3.529159,1.581524
329,3.521618,1.452478
330,2.500325,2.530140
331,2.401920,2.583661
332,3.556354,1.490858
333,2.443932,2.521582
334,2.464681,2.491540
335,2.594325,2.596221
336,2.414518,2.480010
337,2.592402,2.521875
338,3.501516,1.475024
339,2.585893,2.469029
340,2.483506,2.580212
341,2.421358,2.573686
342,2.510548,2.542243
343,2.470224,2.494393
344,3.452009,1.497962
345,2.418944,2.493733
346,2.537293,2.495432
347,3.440397,1.434128
348,2.459402,2.545340
349,2.532356,2.593322
350,2.414445,2.416103
351,2.444167,2.411963
352,2.505996,2.439526
353,3.543917,1.426536
354,2.497747,2.534895
355,2.432440,2.475855
356,2.442985,2.527805
357,3.437550,1.578459
358,3.551903,1.483353
359,3.466629,1.464173
360,3.482714,1.569693
361,3.520055,1.468546
362,2.537223,2.506587
363,3.464494,1.431232
364,3.548914,1.531969
365,3.540987,1.523065
366,2.499812,2.407353
367,2.434384,2.444250
368,2.542010,2.581570
369,2.443106,2.435772
370,3.586168,1.441170
371,3.424061,1.513348
372,3.460284,1.457495
373,3.481836,1.481528
374,2.445388,2.443318
375,2.478738,2.413228
376,2.589620,2.405826
377,2.530714,2.420277
378,2.546064,2.545242
379,3.445960,1.591719
380,2.415352,2.413860
381,2.564275,2.560922
382,2.489627,2.460688
383,2.553088,2.440265
384,2.427570,2.434143
385,3.483542,1.425764
386,2.444655,2.466413
387,2.579842,2.427950
388,2.555102,2.499040
389,2.574496,2.523184
390,2.494842,2.555577
391,3.585771,1.439446
392,2.515748,2.555759
393,2.486412,2.512485
394,2.540828,2.594952
395,2.431918,2.549877
396,2.553065,2.528045
397,3.593482,1.444222
398,2.449662,2.403289
399,2.423371,2.411218
400,2.592991,2.409937
401,2.526892,2.533375
402,3.592531,1.492739
403,3.586576,1.563218
404,3.515747,1.491398
405,2.579851,2.439983
406,3.509426,1.458425
407,3.542888,1.439373
408,3.518752,1.509553
409,2.533727,2.497027
410,2.558255,2.543551
411,3.436252,1.456876
412,2.584711,2.429359
413,3.564658,1.490637
414,2.594923,2.553198
415,3.517989,1.566257
416,2.549110,2.432596
417,2.534134,2.444113
418,3.447875,1.402635
419,2.532658,2.590929
420,2.522639,2.406859
421,2.405295,2.513578
422,2.493692,2.471722
423,2.502568,2.588945
424,3.478772,1.547012
425,2.424121,2.421952
426,2.471902,2.438141
427,2.459751,2.546326
428,2.570101,2.406152
429,2.503457,2.522522
430,3.447176,1.410644
431,2.417908,2.460807
432,3.480736,1.423350
433,3.482633,1.432022
434,2.482987,2.559340
435,3.575732,1.466312
436,3.500592,1.465349
437,3.529895,1.462048
438,2.425540,2.577106
439,2.582776,2.418944
440,2.485749,2.406374
441,2.540833,2.584505
442,2.504598,2.520476
443,3.554379,1.515040
444,2.404728,2.566972
445,2.557680,2.426461
446,2.566000,2.461114
447,3.527476,1.563536
448,2.591206,2.474918
449,2.585276,2.587089
450,3.569781,1.440866
451,2.558129,2.505374
452,3.474957,1.485600
453,3.508351,1.539127
454,3.425867,1.422790
455,3.425210,1.512541
456,3.414703,1.461764
457,2.541479,2.419088
458,3.490004,1.410220
459,3.459385,1.544322
460,3.474046,1.585735
461,3.495773,1.479334
462,2.444439,2.463191
463,3.466271,1.428986
464,3.575569,1.518123
465,3.574839,1.551196
466,2.432019,2.517749
467,3.580533,1.599869
468,2.468201,2.471119
469,3.596455,1.595242
470,3.414982,1.463607
471,3.473760,1.430835
472,2.552325,2.552331
473,2.461353,2.580125
474,2.462665,2.588666
475,2.482592,2.559576
476,2.489772,2.589263
477,3.495618,1.491390
478,2.437790,2.426283
479,2.456832,2.482722
480,2.506492,2.442859
481,2.519055,2.569599
482,2.444915,2.459114
483,3.427454,1.460651
484,2.494700,2.555516
485,2.486505,2.573139
486,2.416118,2.489944
487,2.433955,2.483585
488,2.472169,2.480510
489,3.445702,1.435153
490,2.431413,2.575983
491,2.540406,2.523838
492,3.407103,1.561352
493,2.405236,2.546951
494,2.432954,2.543263
495,2.529210,2.466949
496,2.500738,2.507681
497,2.524823,2.544532
498,3.594327,1.512886
499,2.400633,2.502288
500,2.546368,2.479701
501,2.501155,2.495210
502,2.490718,2.454948
503,2.440545,2.548125
504,3.543937,1.447298
505,2.563056,2.538376
506,2.531875,2.427090
507,2.458087,2.579423
508,2.492525,2.461595
509,2.509084,2.498493
510,3.450992,1.486432
511,3.464349,1.487896
512,3.542602,1.519941
513,3.447151,1.506732
514,2.439870,2.546509
515,2.587171,2.447824
516,2.531237,2.423121
517,2.551783,2.462422
518,2.509192,2.457687
519,3.530983,1.434303
520,2.493878,2.406655
521,2.591414,2.582824
522,2.532624,2.567716
523,2.443608,2.561693
524,2.504678,2.596546
525,3.534888,1.544257
526,2.531108,2.501220
527,2.410458,2.486996
528,2.598144,2.558255
529,2.454678,2.574654
530,2.406825,2.527790
531,3.534827,1.492907
532,2.530189,2.435919
533,2.491497,2.431778
534,2.437215,2.408790
535,2.475794,2.453211
536,2.511920,2.585965
537,3.426782,1.542894
538,2.579729,2.505643
539,2.429751,2.573792
540,2.460105,2.407961
541,2.553285,2.467716
542,2.430150,2.510317
543,3.534506,1.568978
544,2.511418,2.473723
545,2.415423,2.572263
546,2.507205,2.451450
547,3.551972,1.420940
548,3.422152,1.442815
549,2.591058,2.438364
550,3.497500,1.416974
551,2.521911,2.526369
552,3.571549,1.579172
553,3.523971,1.520728
554,3.431000,1.431502
555,3.492134,1.473750
556,2.554317,2.573219
557,3.499356,1.557846
558,3.491276,1.439393
559,3.577300,1.496715
560,3.414491,1.468935
561,3.538264,1.406610
562,2.476827,2.538274
563,2.424581,2.566545
564,3.578867,1.471010
565,2.573142,2.400931
566,2.531118,2.446616
567,2.524058,2.499932
568,2.557633,2.446356
569,2.574890,2.515786
570,3.471254,1.437769
571,2.553556,2.448359
572,2.558212,2.479867
573,2.574452,2.486786
574,2.544009,2.597952
575,2.542362,2.420386
576,3.588034,1.408077
577,2.570834,2.599701
578,3.478723,1.434611
579,2.534083,2.422234
580,3.570463,1.473727
581,2.435768,2.475470
582,3.555541,1.435420
583,3.464123,1.497249
584,2.583236,2.417066
585,2.464226,2.524629
586,2.543615,2.544288
587,2.559096,2.583212
588,2.429365,2.430105
589,3.534213,1.410112
590,2.425257,2.435692
591,2.527004,2.487330
592,2.465283,2.552944
593,3.411953,1.449952
594,2.548916,2.528178
595,2.460754,2.589181
596,3.400133,1.530088
597,3.521631,1.559417
598,2.409080,2.476936
599,3.458342,1.515700
600,3.541654,1.483832
601,2.407407,2.523465
602,2.576189,2.581296
603,2.499635,2.533365
604,3.527996,1.467666
605,3.589330,1.598938
606,3.486210,1.590794
607,2.463019,2.524257
608,3.431150,1.561505
609,3.493811,1.452754
610,3.476599,1.540153
611,2.580773,2.499934
612,3.488988,1.453346
613,2.488956,2.517310
614,3.515516,1.546689
615,3.483899,1.582189
616,3.517215,1.518124
617,2.559246,2.530629
618,2.531499,2.460287
619,2.508242,2.422050
620,2.554464,2.465888
621,2.446463,2.503157
622,3.412310,1.584330
623,2.429547,2.526362
624,2.565941,2.403559
625,2.442740,2.433556
626,2.566673,2.599011
627,2.581016,2.509128
628,3.593551,1.589321
629,2.599010,2.468430
630,2.539373,2.597119
631,2.552388,2.454036
632,2.519357,2.574929
633,2.487372,2.433526
634,3.481872,1.593198
635,2.563098,2.597491
636,2.476467,2.536853
637,2.443527,2.565640
638,2.514932,2.420795
639,2.416903,2.546411
640,3.498246,1.517449
641,2.535483,2.534052
642,2.452057,2.516968
643,2.433814,2.453335
644,2.496745,2.540141
645,2.402268,2.548674
646,3.540146,1.417173
647,2.462781,2.539336
648,2.511181,2.517506
649,2.521548,2.586363
650,2.574283,2.448361
651,2.439393,2.437406
652,3.551757,1.442454
653,2.536001,2.481929
654,2.492032,2.543178
655,2.581825,2.540380
656,2.441798,2.444148
657,2.569593,2.522779
658,3.477185,1.422978
659,2.402658,2.485989
660,2.476207,2.523771
661,2.594156,2.590619
662,2.531973,2.576162
663,2.553407,2.479673
664,3.440809,1.575307
665,2.502846,2.424147
666,2.413287,2.450204
667,2.514244,2.511202
668,2.531836,2.555363
669,2.545371,2.451414
670,3.474381,1.410973
671,2.525153,2.447565
672,2.488402,2.508205
673,2.498110,2.471382
674,2.599490,2.597000
675,2.598401,2.508672
676,3.574453,1.578583
677,2.598208,2.460366
678,2.412440,2.597930
679,2.541914,2.488876
680,2.467707,2.500608
681,2.487725,2.458773
682,3.554156,1.520104
683,2.484676,2.423772
684,2.509037,2.509538
685,2.548012,2.424148
686,2.429818,2.485357
687,2.440293,2.432147
688,3.557003,1.517461
689,2.598792,2.556743
690,2.444680,2.435358
691,2.486287,2.466359
692,2.500217,2.559303
693,3.569911,1.543643
694,2.400950,2.577060
695,3.554961,1.426572
696,2.591786,2.588500
697,3.527811,1.502375
698,2.511778,2.563316
699,3.593162,1.438019
700,3.588586,1.575742
701,2.438859,2.411809
702,2.401545,2.458746
703,2.574484,2.544047
704,2.570846,2.537226
705,2.419002,2.498983
706,3.588535,1.568731
707,3.513220,1.513303
708,3.404048,1.536792
709,2.571824,2.573803
710,3.543393,1.411181
711,2.495673,2.483448
712,2.522012,2.442104
713,2.518742,2.519434
714,2.564326,2.525173
715,2.554335,2.552537
716,3.429017,1.568580
717,2.595823,2.472465
718,2.542193,2.547410
719,2.479395,2.459203
720,2.480304,2.437464
721,2.554220,2.429299
722,3.533619,1.514815
723,2.459235,2.599479
724,3.582320,1.413080
725,3.441951,1.537873
726,2.525478,2.597406
727,3.414182,1.462714
728,3.558791,1.435211
729,3.423666,1.461157
730,2.436362,2.431711
731,2.474185,2.510841
732,2.520754,2.463521
733,2.403664,2.484869
734,2.480825,2.588576
735,3.559382,1.529568
736,2.432873,2.416190
737,2.565759,2.505880
738,2.444165,2.463448
739,3.513692,1.538869
740,2.590441,2.413248
741,2.429246,2.422435
742,3.445423,1.532688
743,2.483239,2.544797
744,3.543251,1.485059
745,2.537763,2.527642
746,3.429994,1.584408
747,3.435687,1.479249
748,3.543845,1.426622
749,3.472715,1.506461
750,3.446027,1.460327
751,2.499562,2.400173
752,3.459412,1.420190
753,3.498012,1.471439
754,2.459992,2.584402
755,3.551842,1.577336
756,3.545755,1.541252
757,3.485067,1.510934
758,2.428796,2.489888
759,3.513502,1.567876
760,2.517938,2.598152
761,3.458425,1.444785
762,3.590064,1.534088
763,3.535983,1.530828
764,3.523497,1.526792
765,3.593085,1.468178
766,2.598800,2.593663
767,2.556986,2.554864
768,2.489847,2.435994
769,3.590092,1.509023
770,3.503490,1.435244
771,3.498276,1.521969
772,3.496706,1.411898
773,2.447164,2.598924
774,2.564732,2.422227
775,2.444547,2.441875
776,2.465932,2.544263
777,3.562444,1.544752
778,3.494648,1.404360
779,3.457332,1.559786
780,3.491461,1.454855
781,2.548277,2.579466
782,2.557636,2.492508
783,2.417372,2.470529
784,2.512223,2.465400
785,2.586171,2.527517
786,3.587456,1.593621
787,2.470429,2.571398
788,2.422438,2.485698
789,2.409332,2.590532
790,3.409759,1.519206
791,3.469538,1.563439
792,3.455599,1.564478
793,3.531986,1.511144
794,3.559007,1.581150
795,2.473154,2.575718
796,3.409244,1.438792
797,3.416536,1.591195
798,3.567610,1.570268
799,2.544485,2.485660
800,2.551101,2.446341
801,2.542619,2.565302
802,2.511405,2.422931
803,3.419571,1.520438
804,3.444951,1.478576
805,3.581784,1.589719
806,3.574121,1.421819
807,2.577565,2.514583
808,2.583205,2.463302
809,2.470498,2.585721
810,2.489245,2.545732
811,2.560921,2.583762
812,3.441355,1.460487
813,2.497237,2.475066
814,2.521472,2.495135
815,2.500146,2.452181
816,2.493194,2.487565
817,2.506798,2.586526
818,3.573112,1.444274
819,2.412928,2.441515
820,2.452484,2.597354
821,2.549488,2.416080
822,2.474553,2.471800
823,2.539879,2.435922
824,3.427667,1.469149
825,2.513947,2.514940
826,2.448136,2.437456
827,2.516052,2.482754
828,2.516499,2.542085
829,2.402139,2.435770
830,3.427774,1.547638
831,2.590954,2.425593
832,2.514268,2.556903
833,2.457338,2.481775
834,2.514516,2.545478
835,3.515381,1.546021
836,3.557074,1.483335
837,2.411770,2.478013
838,2.500679,2.464153
839,2.461837,2.514843
840,3.547668,1.440436
841,2.570685,2.427627
842,3.462813,1.544165
843,3.499859,1.417662
844,3.515032,1.552071
845,2.548935,2.551304
846,3.447961,1.476021
847,2.439719,2.587112
848,3.503199,1.481452
849,3.542822,1.509698
850,2.416110,2.498625
851,3.572037,1.528543
852,2.557171,2.452403
853,2.594072,2.585375
854,2.561513,2.473189
855,2.452990,2.588008
856,2.510813,2.483995
857,3.434150,1.513800
858,2.519323,2.456652
859,2.408979,2.451304
860,2.519758,2.441845
861,2.450538,2.495096
862,2.465733,2.543046
863,3.575972,1.551383
864,2.525874,2.462150
865,3.583083,1.528646
866,2.443379,2.450907
867,2.431701,2.435164
868,3.554822,1.510860
869,3.532063,1.440228
870,3.507692,1.507211
871,2.464880,2.444176
872,2.465326,2.402900
873,2.406824,2.487720
874,2.408445,2.568008
875,2.456395,2.519618
876,3.440679,1.583200
877,2.518900,2.496215
878,2.513596,2.404552
879,2.575642,2.534320
880,3.565700,1.420928
881,2.536809,2.553451
882,2.423525,2.544304
883,3.594338,1.594915
884,3.424444,1.558212
885,3.404829,1.427593
886,3.513915,1.469562
887,2.545627,2.550498
888,2.521868,2.448357
889,2.472816,2.477517
890,2.583737,2.426186
891,3.455864,1.494345
892,3.530154,1.401723
893,3.469578,1.479118
894,2.595579,2.571396
895,3.503207,1.557162
896,3.469639,1.528248
897,3.506260,1.411214
898,2.502029,2.549179
899,3.468140,1.402299
900,2.556058,2.569990
901,3.410342,1.431254
902,3.419876,1.419646
903,3.560004,1.432231
904,2.499371,2.538269
905,2.570558,2.494903
906,2.501798,2.450776
907,2.426220,2.478777
908,2.558636,2.483449
909,3.505352,1.572105
910,2.492215,2.420824
911,2.599429,2.581469
912,2.534533,2.566423
913,3.459983,1.447472
914,2.485203,2.596981
915,2.408605,2.591476
916,2.551979,2.502605
917,2.410298,2.521841
918,2.538209,2.408380
919,3.566031,1.583228
920,2.478363,2.576199
921,3.515942,1.503070
922,3.508511,1.431328
923,3.415329,1.577179
924,2.458642,2.493092
925,2.589448,2.543497
926,2.523291,2.429963
927,2.452249,2.400157
928,2.406094,2.451750
929,3.446483,1.474482
930,2.466472,2.485054
931,2.584572,2.576300
932,2.558996,2.447470
933,2.495547,2.436363
934,2.586215,2.557913
935,3.446924,1.545933
936,2.451784,2.466202
937,3.505178,1.566421
938,3.417281,1.542359
939,3.571122,1.413790
940,3.543328,1.595535
941,3.580091,1.564444
942,2.493731,2.554193
943,2.495033,2.584407
944,3.533052,1.424676
945,2.528942,2.404638
946,3.554750,1.503407
947,2.458448,2.504548
948,3.403919,1.456189
949,3.452834,1.590780
950,3.533118,1.581903
951,2.566400,2.406496
952,2.486243,2.538269
953,3.412144,1.477095
954,2.439559,2.427123
955,3.531854,1.494355
956,2.424705,2.496611
957,2.410494,2.522365
958,2.414237,2.562180
959,2.558577,2.489034
960,2.449969,2.585076
961,3.401545,1.579976
962,2.407881,2.529942
963,2.556646,2.594215
964,3.554997,1.584327
965,2.534389,2.406933
966,2.521474,2.558904
967,2.546436,2.458096
968,2.461408,2.425656
969,2.482080,2.499746
970,3.591831,1.513562
971,2.576612,2.537003
972,2.400008,2.437113
973,2.462696,2.489316
974,2.488577,2.590973
975,3.504199,1.404238
976,3.464826,1.457122
977,2.517882,2.558804
978,2.489808,2.456635
979,2.579527,2.579056
980,3.502118,1.464113
981,2.474052,2.441162
982,3.530523,1.486462
983,3.493636,1.434655
984,3.511265,1.551764
985,2.560145,2.528155
986,3.473392,1.451423
987,2.563329,2.444218
988,2.499590,2.495192
989,3.472564,1.442089
990,2.413711,2.437470
991,3.538663,1.530467
992,2.509483,2.496623
993,2.577114,2.431016
994,2.586302,2.583109
995,2.402061,2.424176
996,2.553729,2.506415
997,3.567230,1.413257
998,2.451181,2.404813
999,2.466720,2.488521
1000,2.580063,2.419115
1001,2.469431,2.419081
1002,2.496864,2.531822
1003,3.412603,1.542829
1004,2.492962,2.587678
1005,3.596743,1.550943
1006,2.533699,2.438119
1007,2.412901,2.561703
1008,3.423798,1.503735
1009,3.425587,1.412702
1010,3.401399,1.584640
1011,2.436329,2.535424
1012,2.499809,2.566696
1013,2.509613,2.514019
1014,2.485342,2.517108
1015,2.504817,2.432604
1016,3.545151,1.590364
1017,2.585763,2.507861
1018,2.575341,2.510698
1019,2.412490,2.492842
1020,3.569541,1.419424
1021,2.423596,2.466891
1022,2.518616,2.409053
1023,3.447953,1.425822
1024,2.526650,2.437696
1025,3.543413,1.517075
1026,3.408045,1.567559
1027,2.429135,2.450074
1028,2.504057,2.445400
1029,2.569222,2.566338
1030,2.521662,2.421256
1031,3.418857,1.449353
1032,3.439682,1.541252
1033,3.442310,1.529009
1034,2.503957,2.432680
1035,3.429634,1.443776
1036,3.568004,1.507647
1037,3.528248,1.571234
1038,2.576221,2.562263
1039,3.417828,1.516707
1040,2.485684,2.422252
1041,3.504563,1.509609
1042,3.515231,1.457935
1043,3.501787,1.408329
1044,2.437828,2.517948
1045,2.586526,2.539616
1046,2.548687,2.434865
1047,2.574234,2.431352
1048,2.425904,2.527422
1049,3.556473,1.500232
1050,2.478535,2.449025
1051,2.539476,2.412966
1052,2.419731,2.544077
1053,2.506246,2.594813
1054,2.462389,2.449351
1055,3.489883,1.469945
1056,2.525504,2.594689
1057,2.534204,2.526120
1058,2.543750,2.518670
1059,2.405502,2.474758
1060,2.462546,2.524934
1061,3.424889,1.594381
1062,2.512804,2.556381
1063,2.460796,2.565580
1064,2.485565,2.437069
1065,2.528508,2.503796
1066,2.509495,2.484790
1067,3.463638,1.487362
1068,2.419105,2.474305
1069,2.485796,2.422363
1070,2.507339,2.460946
1071,2.413123,2.465360
1072,2.515954,2.575258
1073,3.464133,1.423363
1074,2.520354,2.514341
1075,2.568446,2.496458
1076,2.503302,2.580684
1077,2.410906,2.547706
1078,2.509892,2.525923
1079,3.597119,1.429771
1080,2.436621,2.433406
1081,2.532747,2.476446
1082,2.564735,2.475577
1083,2.461496,2.421174
1084,2.597978,2.542939
1085,3.434575,1.562861
1086,2.507580,2.564522
1087,2.560737,2.524393
1088,2.564639,2.438973
1089,2.535887,2.514926
1090,2.432104,2.458119
1091,3.484893,1.597602
1092,2.572854,2.414531
1093,3.531506,1.465670
1094,3.489387,1.515245
1095,3.535802,1.502784
1096,3.515188,1.416064
1097,2.590342,2.527988
1098,2.544848,2.505421
1099,2.470463,2.459546
1100,2.523349,2.482351
1101,2.493695,2.558108
1102,3.572267,1.468508
1103,2.494935,2.422785
1104,2.463969,2.437760
1105,2.508033,2.458540
1106,2.515052,2.483613
1107,2.474500,2.467948
1108,3.522854,1.438502
1109,2.583294,2.550582
1110,2.591155,2.512148
1111,2.504159,2.415167
1112,2.578567,2.474584
1113,2.427121,2.553227
1114,3.535506,1.578063
1115,2.488816,2.403677
1116,2.513883,2.456634
1117,2.575003,2.441177
1118,2.596416,2.535760
1119,3.409789,1.508725
1120,2.590389,2.527525
1121,3.430157,1.583508
1122,3.412444,1.425254
1123,2.483197,2.517863
1124,3.516757,1.472466
1125,3.479824,1.403934
1126,2.529441,2.415833
1127,2.571428,2.486835
1128,3.491804,1.407475
1129,2.520034,2.503166
1130,3.583108,1.432117
1131,2.486624,2.460678
1132,3.519520,1.571611
1133,2.471549,2.572637
1134,2.527946,2.520398
1135,3.551108,1.595485
1136,2.543938,2.480173
1137,2.446616,2.434459
1138,2.458491,2.577569
1139,2.428310,2.459139
1140,2.528508,2.406972
1141,3.539316,1.416557
1142,2.527583,2.405394
1143,2.492666,2.416752
1144,2.571383,2.461525
1145,2.447879,2.405311
1146,2.573747,2.584224
1147,3.577667,1.506374
1148,2.561061,2.402118
1149,3.489853,1.590922
